Sample,Time_s,Value
926,92.5,0.000199784
927,92.60000000000001,0.000263488
928,92.7,0.000357098
929,92.80000000000001,0.000369059
930,92.9,0.000475832
931,93.0,0.000312316
932,93.10000000000001,0.000227132
933,93.2,0.000221303
934,93.30000000000001,0.000548725
935,93.4,0.000216218
936,93.5,0.00030668
937,93.60000000000001,0.000491998
938,93.7,0.000333399
939,93.80000000000001,0.000260062
940,93.9,0.000287598
941,94.0,0.000287001
942,94.10000000000001,0.000411796
943,94.2,0.00040455
944,94.30000000000001,0.000213133
945,94.4,0.000208407
946,94.5,0.000323004
947,94.60000000000001,0.000523977
948,94.7,0.000444925
949,94.80000000000001,0.000400658
950,94.9,0.000234578
951,95.0,0.000282613
952,95.10000000000001,0.000314306
953,95.2,0.000343981
954,95.30000000000001,0.000305181
955,95.4,0.000117975
956,95.5,0.000279556
957,95.60000000000001,0.000301579
958,95.7,0.000221576
959,95.80000000000001,0.0006544
960,95.9,0.000364715
961,96.0,0.000350072
962,96.10000000000001,0.000230912
963,96.2,0.000312065
964,96.30000000000001,0.000510623
965,96.4,0.000572064
966,96.5,0.000242645
967,96.60000000000001,0.000301246
968,96.7,0.000620279
969,96.80000000000001,0.000218063
970,96.9,0.000295708
971,97.0,0.000197217
972,97.10000000000001,0.000632729
973,97.2,0.000427162
974,97.30000000000001,0.000566995
975,97.4,0.000340294
976,97.5,0.000516523
977,97.60000000000001,0.000663682
978,97.7,0.00052471
979,97.80000000000001,0.000574184
980,97.9,0.000615156
981,98.0,0.000198209
982,98.10000000000001,0.000230983
983,98.2,0.000361951
984,98.30000000000001,0.000486354
985,98.4,0.000170733
986,98.5,0.00031774
987,98.60000000000001,0.000571108
988,98.7,0.000357479
989,98.80000000000001,0.000285971
990,98.9,0.00021788
991,99.0,0.000430674
992,99.10000000000001,0.000570006
993,99.2,0.00052381
994,99.30000000000001,0.000577961
995,99.4,0.000210574
996,99.5,0.000453695
997,99.60000000000001,0.000565196
998,99.7,0.000317761
999,99.80000000000001,0.000122193
1000,99.9,0.000243707
